"hep-th/9202032",,"Hidetoshi Awata","Screening Currents Ward Identity and Integral Formulas for the WZNW
  Correlation Functions","26 pages","Prog.Theor.Phys.Suppl.110:303-320,1992","10.1143/PTPS.110.303",,"hep-th",,"  We derive, based on the Wakimoto realization, the integral formulas for the
WZNW correlation functions. The role of the ``screening currents Ward
identity'' is demonstrated with explicit examples. We also give a more simple
proof of a previous result.
","[{""version"":""v1"",""created"":""Mon, 10 Feb 1992 12:44:15 GMT""}]","2008-11-26"
"hep-th/9202033",,"G. Papadopoulos and B. Spence","The Canonical Structure of Wess-Zumino-Witten Models","16pp (revised version - two new sections added and relation with
  other recent work discussed)","Phys.Lett.B292:321-328,1992","10.1016/0370-2693(92)91182-9",,"hep-th",,"  The phase space of the Wess-Zumino-Witten model on a circle with target space
a compact, connected, semisimple Lie group $G$ is defined and the corresponding
symplectic form is given. We present a careful derivation of the Poisson
brackets of the Wess-Zumino-Witten model. We also study the canonical structure
of the supersymmetric and the gauged Wess-Zumino-Witten models.
","[{""version"":""v1"",""created"":""Mon, 10 Feb 1992 14:28:00 GMT""},{""version"":""v2"",""created"":""Thu, 30 Apr 1992 15:16:07 GMT""}]","2009-10-09"
