"hep-th/9201058","V. P. Nair","R.Efraty and V.P.Nair","The Secret Chern-Simons Action for the Hot Gluon Plasma","(9 pages)","Phys.Rev.Lett. 68 (1992) 2891-2894","10.1103/PhysRevLett.68.2891",,"hep-th",,"  We show that the generating functional for hard thermal loops with external
gluons in QCD is essentially given by the eikonal for a Chern-Simons gauge
theory. This action, determined essentially by gauge invariance arguments, also
gives an efficient way of obtaining the hard thermal loop contributions without
the more involved calculation of Feynman diagrams.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1992 17:58:12 GMT""},{""version"":""v2"",""created"":""Fri, 7 Feb 1992 22:38:44 GMT""}]","2009-10-22"
"hep-th/9201059","John Preskill","Sidney Coleman, John Preskill, and Frank Wilczek","Quantum Hair on Black Holes","(100 pages)","Nucl.Phys.B378:175-246,1992","10.1016/0550-3213(92)90008-Y",,"hep-th",,"  A black hole may carry quantum numbers that are {\it not} associated with
massless gauge fields, contrary to the spirit of the ``no-hair'' theorems. We
describe in detail two different types of black hole hair that decay
exponentially at long range. The first type is associated with discrete gauge
charge and the screening is due to the Higgs mechanism. The second type is
associated with color magnetic charge, and the screening is due to color
confinement. In both cases, we perform semi-classical calculations of the
effect of the hair on local observables outside the horizon, and on black hole
thermodynamics. These effects are generated by virtual cosmic strings, or
virtual electric flux tubes, that sweep around the event horizon. The effects
of discrete gauge charge are non-perturbative in $\hbar$, but the effects of
color magnetic charge become $\hbar$-independent in a suitable limit. We
present an alternative treatment of discrete gauge charge using dual variables,
and examine the possibility of black hole hair associated with discrete {\it
global} symmetry. We draw the distinction between {\it primary} hair, which
endows a black hole with new quantum numbers, and {\it secondary} hair, which
does not, and we point out some varieties of secondary hair that occur in the
standard model of particle physics.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1992 19:05:24 GMT""}]","2014-11-18"
"hep-th/9201060",,"J.M. Lina and P.K. Panigrahi","Lax Pair Formulation of the W-gravity Theories in two Dimensions","26 pages","Int.J.Mod.Phys. A7 (1992) 6907-6932",,,"hep-th",,"  The Lax pair formulation of the two dimensional induced gravity in the
light-cone gauge is extended to the more general $w_N$ theories. After
presenting the $w_2$ and $w_3$ gravities, we give a general prescription for an
arbitrary $w_N$ case. This is further illustrated with the $w_4$ gravity to
point out some peculiarities. The constraints and the possible presence of the
cosmological constants are systematically exhibited in the zero-curvature
condition, which also yields the relevant Ward identities. The restrictions on
the gauge parameters in presence of the constraints are also pointed out and
are contrasted with those of the ordinary 2d-gravity.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1992 19:12:50 GMT""}]","2007-05-23"
"hep-th/9201061","Tom Banks","T.Banks, A. Dabolkhar, M.R. Douglas, M. O' Loughlin (Rutgers U)","Are Horned Particles the Climax of Hawking Evaporation?","26 pages","Phys.Rev. D45 (1992) 3607-3616","10.1103/PhysRevD.45.3607",,"hep-th",,"  We investigate the proposal by Callan, Giddings, Harvey and Strominger (CGHS)
that two dimensional quantum fluctuations can eliminate the singularities and
horizons formed by matter collapsing on the nonsingular extremal black hole of
dilaton gravity. We argue that this scenario could in principle resolve all of
the paradoxes connected with Hawking evaporation of black holes. However, we
show that the generic solution of the model of CGHS is singular. We propose
modifications of their model which may allow the scenario to be realized in a
consistent manner.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1992 19:45:03 GMT""},{""version"":""v2"",""created"":""Thu, 30 Jan 1992 17:28:07 GMT""}]","2009-10-22"
"hep-th/9201062","A. Stern","G. Bimonte, P. Salomonson, A. Simoni, A. Stern","Poisson bracket algebra for chiral group elements in the WZNW model","21 pages","Int. J. Mod. Phys. A7 (1992) 6159","10.1142/S0217751X92002799",,"hep-th",,"  We examine the Wess-Zumino-Novikov-Witten (WZNW) model on a circle and
compute the Poisson bracket algebra for left and right moving chiral group
elements. Our computations apply for arbitrary groups and boundary conditions,
the latter being characterized by the monodromy matrix. Unlike in previous
treatments, they do not require specifying a particular parametrization of the
group valued fields in terms of angles spanning the group. We do however find
it necessary to make a gauge choice, as the chiral group elements are not gauge
invariant observables. (On the other hand, the quadratic form of the Poisson
brackets may be defined independent of a gauge fixing.) Gauge invariant
observables can be formed from the monodromy matrix and these observables are
seen to commute in the quantum theory.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1992 21:53:53 GMT""}]","2015-06-26"
"hep-th/9201063","Marc Kamionkowski","Marc Kamionkowski and John March-Russell","Are Textures Natural?","9pp","Phys.Rev.Lett. 69 (1992) 1485-1488","10.1103/PhysRevLett.69.1485",,"hep-th",,"  We make the simple observation that, because of global symmetry violating
higher-dimension operators expected to be induced by Planck-scale physics,
textures are generically much too short-lived to be of use for large-scale
structure formation.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1992 22:05:04 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jan 1992 23:12:26 GMT""}]","2009-10-22"
"hep-th/9201064",,"J.L.F. Barb\'on","Perturbing the Ground Ring of 2-D String Theory","23 pages","Int. J. Mod. Phys. A7 (1992) 7579-7596","10.1142/S0217751X92003434",,"hep-th",,"  We use free field techniques in D=2 string theory to calculate the
perturbation of the special state algebras when the cosmologi- cal constant is
turned on. In particular, we find that the ""ground cone"" preserved by the ring
structure is promoted to a three dimen- sional hyperboloid as conjectured by
Witten. On the other hand, the perturbed (1,1) a three dimensional hyperboloid
as conjectured by Witten. On the other hand, the perturbed (1,1) current
algebra of moduli deformations is computed completely, and no simple
geometrical inter- pretation is found. We also quote some facts concerning the
Liouville/matrix model dictio- nary in this class of theories.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1992 02:42:20 GMT""}]","2015-06-26"
"hep-th/9201065","Norisuke Sakai","Yoichiro Matsumura, Norisuke Sakai, Yoshiaki Tanii","Coupling of Tachyons and Discrete States in $c = 1$ 2-D Gravity","26 pages","Nucl.Phys. B395 (1993) 354-370","10.1016/0550-3213(93)90220-J",,"hep-th",,"  All the three point couplings involving tachyons and/or discrete states are
obtained in $c=1$ two-dimensional (2-D) quantum gravity by means of the
operator product expansion (OPE). Cocycle factors are found to be necessary in
order to maintain the analytic structure of the OPE, and are constructed
explicitly both for discrete states and for tachyons. The effective action
involving tachyons and discrete states is worked out to summarize all of these
three point couplings.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1992 05:38:42 GMT""},{""version"":""v2"",""created"":""Tue, 4 Feb 1992 06:57:34 GMT""}]","2009-10-22"
"hep-th/9201066","Norisuke Sakai","Yoichiro Matsumura, Norisuke Sakai, Yoshiaki Tanii","Interaction of Tachyons and Discrete States in c=1 2-D Quantum Gravity","10 pages",,,,"hep-th",,"  The two-dimensional (2-D) quantum gravity coupled to the conformal matter
with $c=1$ is studied. We obtain all the three point couplings involving
tachyons and/or discrete states via operator product expansion. We find that
cocycle factors are necessary and construct them explicitly. We obtain an
effective action for these three point couplings. This is a brief summary of
our study of couplings of tachyons and discrete states, reported at the
workshop in Tokyo Metropolitan University, December 4-6, 1991.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1992 05:39:06 GMT""},{""version"":""v2"",""created"":""Tue, 4 Feb 1992 06:57:43 GMT""}]","2008-02-03"
"hep-th/9201067","Gustav Delius","G. W. Delius, M.T. Grisaru and D. Zanon","Exact S-Matrices for Nonsimply-Laced Affine Toda Theories","38 pages","Nucl.Phys. B382 (1992) 365-408","10.1016/0550-3213(92)90190-M",,"hep-th",,"  We derive exact, factorized, purely elastic scattering matrices for affine
Toda theories based on the nonsimply-laced Lie algebras and superalgebras.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1992 12:33:51 GMT""}]","2009-10-22"
